transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20241102_000001,USER_0757,2024-11-02 17:54:03,MERCH_0212,Merchant_0211,Groceries,Milk 2L,1566.47,40.9,36.34,154,Debit Card,Successful,Android,Suburban,INR,2024-11-02 17:54:03
TXN_20241102_000002,USER_0352,2024-11-02 08:36:55,MERCH_0181,Merchant_0180,Entertainment,VR Headset,1749.95,31.51,84.59,99,UPI,Successful,Android,Urban,INR,2024-11-02 08:36:55
TXN_20241102_000003,USER_0441,2024-11-02 03:57:53,MERCH_0264,Merchant_0263,Electronics,MacBook Air M2,1928.11,31.14,39.94,136,Credit Card,Successful,Android,Rural,INR,2024-11-02 03:57:53
TXN_20241102_000004,USER_0251,2024-11-02 20:40:03,MERCH_0114,Merchant_0113,Electronics,MacBook Air M2,4660.42,75.2,211.87,318,UPI,Successful,Web,Suburban,INR,2024-11-02 20:40:03
TXN_20241102_000005,USER_0049,2024-11-02 00:30:57,MERCH_0496,Merchant_0495,Entertainment,VR Headset,856.44,13.87,3.45,63,Credit Card,Successful,Android,Urban,INR,2024-11-02 00:30:57
TXN_20241102_000006,USER_0157,2024-11-02 03:52:53,MERCH_0343,Merchant_0342,Education,Laptop for Study,775.61,14.17,37.46,39,UPI,Successful,Android,Urban,INR,2024-11-02 03:52:53
TXN_20241102_000007,USER_0648,2024-11-02 00:11:10,MERCH_0081,Merchant_0080,Electronics,Amazon Echo Dot,6226.81,141.85,230.22,376,UPI,Successful,Android,Suburban,INR,2024-11-02 00:11:10
TXN_20241102_000008,USER_0457,2024-11-02 18:39:49,MERCH_0007,Swiggy,Others,Cosmetics,1138.37,32.95,18.35,101,UPI,Successful,iOS,Urban,INR,2024-11-02 18:39:49
TXN_20241102_000009,USER_0158,2024-11-02 21:27:44,MERCH_0447,Merchant_0446,Bills,Gas Cylinder,511.3,8.57,0.0,0,UPI,Failed,iOS,Urban,INR,2024-11-02 21:27:44
TXN_20241102_000010,USER_0739,2024-11-02 14:50:02,MERCH_0089,Merchant_0088,Food,Burger Combo,1113.06,26.43,32.55,62,UPI,Successful,Android,Urban,INR,2024-11-02 14:50:02
TXN_20241102_000011,USER_0699,2024-11-02 20:48:53,MERCH_0394,Merchant_0393,Groceries,Fish 1kg,1299.78,34.61,9.14,118,Bank Transfer,Successful,Android,Urban,INR,2024-11-02 20:48:53
TXN_20241102_000012,USER_0595,2024-11-02 08:29:54,MERCH_0267,Merchant_0266,Education,School Fee Payment,8560.92,217.95,375.78,749,Credit Card,Successful,iOS,Urban,INR,2024-11-02 08:29:54
TXN_20241102_000013,USER_0635,2024-11-02 01:06:15,MERCH_0334,Merchant_0333,Others,Tools Set,4558.85,93.2,131.62,251,UPI,Successful,iOS,Urban,INR,2024-11-02 01:06:15
TXN_20241102_000014,USER_0858,2024-11-02 23:43:42,MERCH_0059,Merchant_0058,Health,Medicine Pack,5696.01,105.35,189.72,394,UPI,Successful,Web,Urban,INR,2024-11-02 23:43:42
TXN_20241102_000015,USER_0771,2024-11-02 13:39:11,MERCH_0186,Merchant_0185,Entertainment,Spotify Premium,4105.05,88.4,173.3,280,Debit Card,Successful,iOS,Suburban,INR,2024-11-02 13:39:11
TXN_20241102_000016,USER_0927,2024-11-02 21:18:15,MERCH_0068,Merchant_0067,Entertainment,Gaming Console,4657.54,115.94,0.0,0,Debit Card,Failed,iOS,Rural,INR,2024-11-02 21:18:15
TXN_20241102_000017,USER_0814,2024-11-02 01:42:41,MERCH_0126,Merchant_0125,Others,Baby Products,908.61,15.62,7.82,62,Credit Card,Successful,Android,Urban,INR,2024-11-02 01:42:41
TXN_20241102_000018,USER_0182,2024-11-02 07:18:49,MERCH_0335,Merchant_0334,Bills,Loan EMI,1482.37,30.89,65.06,96,UPI,Successful,Android,Urban,INR,2024-11-02 07:18:49
TXN_20241102_000019,USER_0202,2024-11-02 17:39:23,MERCH_0047,Merchant_0046,Travel,Train Ticket AC,671.88,13.51,0.0,0,UPI,Pending,iOS,Suburban,INR,2024-11-02 17:39:23
