transaction_id,customer_id,transaction_timestamp,merchant_id,merchant_name,product_category,product_name,amount,fee_amount,cashback_amount,loyalty_points,payment_method,transaction_status,device_type,location_type,currency,updated_at
TXN_20241103_000001,USER_0876,2024-11-03 04:05:50,MERCH_0045,Merchant_0044,Food,Noodles Bowl,249.49,3.8,7.27,20,Debit Card,Successful,Android,Urban,INR,2024-11-03 04:05:50
TXN_20241103_000002,USER_0560,2024-11-03 04:14:12,MERCH_0337,Merchant_0336,Health,Fitness Band,629.56,14.43,27.5,34,UPI,Successful,Web,Urban,INR,2024-11-03 04:14:12
TXN_20241103_000003,USER_0176,2024-11-03 12:22:40,MERCH_0139,Merchant_0138,Fashion,Nike Air Max,1005.23,24.46,7.45,72,UPI,Successful,Android,Rural,INR,2024-11-03 12:22:40
TXN_20241103_000004,USER_0941,2024-11-03 17:41:20,MERCH_0101,Merchant_0100,Education,Educational Software,2099.95,50.28,100.54,159,UPI,Successful,iOS,Urban,INR,2024-11-03 17:41:20
TXN_20241103_000005,USER_0899,2024-11-03 11:54:21,MERCH_0228,Merchant_0227,Health,Blood Test Package,5034.97,95.31,155.7,445,Debit Card,Successful,Android,Urban,INR,2024-11-03 11:54:21
TXN_20241103_000006,USER_0294,2024-11-03 14:31:37,MERCH_0306,Merchant_0305,Health,Doctor Consultation,3619.66,56.94,157.96,278,Credit Card,Successful,Android,Urban,INR,2024-11-03 14:31:37
TXN_20241103_000007,USER_0774,2024-11-03 14:07:12,MERCH_0478,Merchant_0477,Fashion,Woodland Shoes,555.95,12.06,1.06,44,UPI,Successful,Android,Urban,INR,2024-11-03 14:07:12
TXN_20241103_000008,USER_0630,2024-11-03 04:44:30,MERCH_0025,ShopEasy India,Electronics,MacBook Air M2,1246.74,22.94,34.2,80,UPI,Successful,Web,Urban,INR,2024-11-03 04:44:30
TXN_20241103_000009,USER_0450,2024-11-03 02:17:02,MERCH_0226,Merchant_0225,Fashion,Van Heusen Shirt,1951.54,48.98,2.85,132,UPI,Successful,iOS,Urban,INR,2024-11-03 02:17:02
TXN_20241103_000010,USER_0840,2024-11-03 05:20:15,MERCH_0438,Merchant_0437,Entertainment,IPL Match Ticket,1391.02,30.01,58.69,73,UPI,Successful,Android,Urban,INR,2024-11-03 05:20:15
TXN_20241103_000011,USER_0047,2024-11-03 12:14:14,MERCH_0323,Merchant_0322,Bills,Gas Cylinder,1381.2,28.93,16.06,72,Credit Card,Successful,Web,Urban,INR,2024-11-03 12:14:14
TXN_20241103_000012,USER_0261,2024-11-03 17:13:05,MERCH_0011,Blinkit,Education,Tuition Fee,322.87,8.17,11.55,20,UPI,Successful,iOS,Urban,INR,2024-11-03 17:13:05
TXN_20241103_000013,USER_0418,2024-11-03 01:01:42,MERCH_0297,Merchant_0296,Education,Online Course Fee,570.93,8.94,0.86,56,UPI,Successful,Android,Urban,INR,2024-11-03 01:01:42
TXN_20241103_000014,USER_0223,2024-11-03 17:45:53,MERCH_0436,Merchant_0435,Electronics,Samsung Galaxy S23,1208.41,28.07,25.96,65,Debit Card,Successful,Android,Urban,INR,2024-11-03 17:45:53
TXN_20241103_000015,USER_0197,2024-11-03 21:23:36,MERCH_0156,Merchant_0155,Fashion,Woodland Shoes,100.0,2.87,2.45,8,UPI,Successful,Android,Urban,INR,2024-11-03 21:23:36
TXN_20241103_000016,USER_0546,2024-11-03 06:11:50,MERCH_0296,Merchant_0295,Health,Doctor Consultation,3431.13,101.52,10.95,278,UPI,Successful,Android,Rural,INR,2024-11-03 06:11:50
TXN_20241103_000017,USER_0844,2024-11-03 09:55:45,MERCH_0241,Merchant_0240,Health,Health Insurance Premium,458.21,10.37,17.03,24,Wallet Balance,Successful,iOS,Urban,INR,2024-11-03 09:55:45
TXN_20241103_000018,USER_0811,2024-11-03 09:41:55,MERCH_0306,Merchant_0305,Others,Pet Food,3593.34,82.7,99.75,280,Credit Card,Successful,Android,Suburban,INR,2024-11-03 09:41:55
TXN_20241103_000019,USER_0650,2024-11-03 04:31:01,MERCH_0307,Merchant_0306,Electronics,Mi TV,3290.9,84.7,118.11,200,Debit Card,Successful,Android,Urban,INR,2024-11-03 04:31:01
TXN_20241103_000020,USER_0236,2024-11-03 23:26:16,MERCH_0341,Merchant_0340,Others,Stationery Set,1049.75,20.15,17.73,73,UPI,Successful,Android,Rural,INR,2024-11-03 23:26:16
